"Source","Destination","Size"
"Category_1__The_Bengaluru_Freedom_202606142355.jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-01.jpg","3586448"
"Category_1__The_Bengaluru_Freedom_202606142356 (1).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-02.jpg","3973737"
"Category_1__The_Bengaluru_Freedom_202606142356 (2).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-03.jpg","3978072"
"Category_1__The_Bengaluru_Freedom_202606142356 (3).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-04.jpg","3561780"
"Category_1__The_Bengaluru_Freedom_202606142356 (4).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-05.jpg","3840960"
"Category_1__The_Bengaluru_Freedom_202606142356 (5).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-06.jpg","3499047"
"Category_1__The_Bengaluru_Freedom_202606142356 (6).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-07.jpg","3521887"
"Category_1__The_Bengaluru_Freedom_202606142356 (7).jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-08.jpg","3416575"
"Category_1__The_Bengaluru_Freedom_202606142356.jpeg","public\images\cwi\newsroom\hero\cwi-bengaluru-freedom-park-protest-09.jpg","3933918"
"Category_1__The_CJP_Mascot._202606142340 (1).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-janta-party-mascot-01.jpg","3401935"
"Category_1__The_CJP_Mascot._202606142340 (2).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-janta-party-mascot-02.jpg","3265720"
"Category_1__The_CJP_Mascot._202606142340 (3).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-janta-party-mascot-03.jpg","3857248"
"Category_1__The_CJP_Mascot._202606142340 (4).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-janta-party-mascot-04.jpg","3216401"
"Category_1__The_CJP_Mascot._202606142340.jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-janta-party-mascot-05.jpg","3677122"
"Category_2__Jantar_Mantar_Ground_202606142339.jpeg","public\images\cwi\newsroom\hero\cwi-jantar-mantar-student-protest-01.jpg","3511233"
"Category_2__Jantar_Mantar_Ground_202606142340 (1).jpeg","public\images\cwi\newsroom\hero\cwi-jantar-mantar-student-protest-02.jpg","3621211"
"Category_2__Jantar_Mantar_Ground_202606142340 (2).jpeg","public\images\cwi\newsroom\hero\cwi-jantar-mantar-student-protest-03.jpg","3984786"
"Category_2__Jantar_Mantar_Ground_202606142340.jpeg","public\images\cwi\newsroom\hero\cwi-jantar-mantar-student-protest-04.jpg","4162849"
"Category_2__Jantar_Mantar_Ground_202606142347.jpeg","public\images\cwi\newsroom\hero\cwi-jantar-mantar-student-protest-05.jpg","4125177"
"Category_2__The_Cockroach_Masks_202606142356 (1).jpeg","public\images\cwi\newsroom\hero\cwi-cockroach-masks-youth-protest-01.jpg","4523950"
